RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
   4.132       -4.342            8.474           -3.931            8.064            2.605            1.528           -0.692            4.825     
   1.635       -5.952            7.587           -5.926            7.560           -0.074            1.709           -3.108            4.743     
  -0.433       -3.220            2.788           -3.140            2.707           -1.908            1.476           -3.495            3.062     
  -1.747        4.039           -5.786            4.317           -6.064           -3.345            1.598            6.536           -8.283     
  -7.952       -0.955           -6.997           -1.020           -6.931           -9.720            1.768            0.954           -8.906     
 -18.047       -6.467          -11.581           -6.510          -11.537          -19.589            1.542           -7.914          -10.133     
   8.080        5.661            2.419            5.193            2.886            6.467            1.612            8.604           -0.524     
   3.593        1.951            1.642            1.107            2.486            1.797            1.796            4.412           -0.819     
  -4.424       -0.838           -3.586           -1.611           -2.813           -5.975            1.551           -1.890           -2.534     
   9.046        2.328            6.718            2.495            6.551            7.462            1.585            5.542            3.504     
   6.150        0.330            5.819            0.131            6.019            4.385            1.765            3.033            3.116     
  -0.157       -1.032            0.874           -1.182            1.024           -1.685            1.528           -1.773            1.616     
   9.441        1.695            7.746            1.901            7.539            7.862            1.578            4.946            4.495     
   7.134        0.257            6.877            0.094            7.040            5.375            1.759            3.004            4.130     
   1.506       -0.413            1.919           -0.525            2.031           -0.016            1.522           -1.113            2.619     
   9.367        0.919            8.448            1.359            8.008            7.809            1.557            4.140            5.227     
   7.753        0.335            7.419            0.417            7.336            6.020            1.733            3.012            4.741     
   2.627       -0.132            2.758           -0.021            2.648            1.122            1.505           -0.829            3.455     
  -3.420        2.163           -5.583            2.472           -5.892           -5.043            1.622            4.380           -7.800     
  -9.912       -3.056           -6.856           -3.079           -6.833          -11.703            1.791           -1.312           -8.600     
 -18.286       -6.908          -11.378           -6.921          -11.366          -19.853            1.567           -8.634           -9.653     
   6.861        4.233            2.628            3.797            3.063            5.223            1.637            6.898           -0.037     
   2.087        0.298            1.789           -0.502            2.590            0.269            1.819            2.596           -0.509     
  -4.209       -0.831           -3.378           -1.572           -2.637           -5.785            1.576           -2.160           -2.049     
   8.090        1.280            6.810            1.467            6.624            6.484            1.607            4.186            3.904     
   4.907       -0.942            5.849           -1.111            6.018            3.122            1.785            1.567            3.340     
   0.321       -0.644            0.965           -0.776            1.096           -1.229            1.550           -1.693            2.014     
   7.337       -0.465            7.803           -0.244            7.581            5.738            1.600            2.468            4.869     
   4.744       -2.128            6.872           -2.264            7.008            2.966            1.778            0.416            4.328     
   0.837       -1.138            1.974           -1.235            2.072           -0.707            1.543           -2.155            2.991     
   6.618       -1.811            8.429           -1.365            7.983            5.041            1.577            1.073            5.545     
   4.718       -2.620            7.338           -2.520            7.238            2.967            1.751           -0.165            4.883     
   1.312       -1.427            2.739           -1.310            2.622           -0.212            1.525           -2.460            3.772     
   5.590        9.862           -4.272           10.477           -4.887            3.748            1.842            9.782           -4.192     
  -0.351        5.743           -6.094            6.129           -6.480           -2.344            1.992            6.206           -6.557     
  -8.846        1.207          -10.053            1.499          -10.344          -10.633            1.787           -2.841           -6.005     
  10.852        7.085            3.767            6.936            3.916            8.999            1.853            7.408            3.444     
   6.629        4.250            2.379            3.839            2.790            4.612            2.016            5.222            1.407     
   0.213        2.438           -2.225            1.981           -1.768           -1.579            1.791           -1.259            1.472     
   9.500        2.838            6.662            3.167            6.333            7.710            1.790            3.066            6.435     
   6.867        1.715            5.151            1.791            5.075            4.916            1.950            2.562            4.305     
   2.161        1.330            0.831            1.339            0.822            0.427            1.734           -2.423            4.584     
   7.505        0.259            7.246            0.577            6.927            5.732            1.773            0.407            7.098     
   5.461       -0.304            5.766           -0.241            5.702            3.527            1.934            0.470            4.991     
   1.434        0.002            1.432           -0.000            1.434           -0.283            1.717           -3.826            5.260     
   5.758       -1.347            7.105           -0.890            6.647            4.026            1.732           -1.450            7.207     
   4.407       -1.057            5.464           -0.843            5.250            2.520            1.888           -0.572            4.979     
   0.882       -0.546            1.428           -0.421            1.303           -0.798            1.680           -4.592            5.473     
   6.403       12.280           -5.877           12.790           -6.387            4.750            1.653           14.876           -8.473     
  -0.782        6.849           -7.631            7.117           -7.899           -2.587            1.806            9.863          -10.645     
  -9.443        2.221          -11.665            2.409          -11.852          -11.041            1.598            0.862          -10.305     
  13.864       11.529            2.335           11.294            2.569           12.195            1.668           14.573           -0.710     
   8.397        7.383            1.015            6.873            1.524            6.563            1.834           10.950           -2.553     
   1.814        5.478           -3.664            4.936           -3.122            0.207            1.607            4.515           -2.701     
  13.301        6.897            6.404            7.272            6.029           11.666            1.635           10.153            3.148     
   9.424        4.463            4.961            4.572            4.852            7.627            1.797            8.212            1.212     
   4.551        3.985            0.566            4.041            0.510            2.973            1.578            3.273            1.278     
  12.811        5.452            7.358            5.858            6.953           11.184            1.627            8.726            4.085     
   9.524        3.578            5.946            3.716            5.809            7.735            1.789            7.352            2.172     
   5.330        3.792            1.537            3.878            1.452            3.759            1.570            3.102            2.228     
  12.498        4.598            7.900            5.219            7.279           10.896            1.602            7.799            4.698     
   9.904        3.577            6.328            3.942            5.963            8.144            1.760            7.240            2.665     
   6.212        3.995            2.217            4.285            1.927            4.662            1.550            3.266            2.946     
   9.322        5.734            3.588            5.371            3.952            7.576            1.747            6.885            2.437     
   6.246        3.608            2.638            2.900            3.346            4.321            1.925            4.598            1.648     
   3.248        5.665           -2.417            4.997           -1.749            1.563            1.685            2.823            0.425     
  10.433        3.268            7.165            3.459            6.974            8.731            1.701            4.502            5.931     
   8.946        2.854            6.092            2.710            6.236            7.071            1.875            3.897            5.049     
   7.658        6.338            1.320            6.212            1.447            6.014            1.644            3.618            4.041     
  10.660        2.688            7.972            2.893            7.766            8.970            1.690            3.901            6.759     
   9.763        2.834            6.930            2.702            7.061            7.899            1.865            3.863            5.900     
   9.154        7.010            2.144            6.897            2.257            7.521            1.633            4.273            4.881     
   9.391        1.157            8.233            1.546            7.844            7.733            1.658            2.225            7.165     
   9.187        2.156            7.031            2.221            6.967            7.359            1.828            3.002            6.186     
   9.080        6.537            2.543            6.597            2.483            7.474            1.606            3.688            5.392     
  -6.814       -2.183           -4.631           -1.757           -5.057           -8.555            1.741           -1.427           -5.387     
 -10.844       -4.739           -6.105           -4.607           -6.237          -12.747            1.903           -4.082           -6.762     
 -15.992       -5.567          -10.424           -5.463          -10.529          -17.677            1.685           -8.756           -7.236     
   0.168       -3.369            3.537           -3.692            3.860           -1.586            1.755           -2.176            2.344     
  -2.143       -4.639            2.497           -5.290            3.147           -4.073            1.930           -3.440            1.297     
  -5.213       -2.745           -2.468           -3.374           -1.839           -6.906            1.693           -5.548            0.335     
   1.111       -5.963            7.074           -5.737            6.848           -0.597            1.708           -4.698            5.809     
   0.390       -5.522            5.911           -5.613            6.003           -1.490            1.879           -4.280            4.670     
  -0.970       -2.201            1.231           -2.292            1.322           -2.621            1.651           -4.892            3.922     
  -8.726       -3.828           -4.898           -3.425           -5.301          -10.435            1.708           -2.634           -6.092     
 -13.043       -6.704           -6.338           -6.603           -6.440          -14.914            1.871           -5.674           -7.369     
 -18.454       -7.761          -10.693           -7.680          -10.774          -20.107            1.653          -10.510           -7.943     
  -0.788       -4.081            3.293           -4.425            3.638           -2.510            1.723           -2.444            1.656     
  -3.386       -5.673            2.287           -6.351            2.966           -5.285            1.899           -4.094            0.708     
  -6.718       -4.007           -2.712           -4.656           -2.062           -8.380            1.661           -6.364           -0.354     
   0.968       -6.054            7.022           -5.827            6.795           -0.713            1.681           -4.295            5.262     
  -0.041       -5.934            5.893           -6.032            5.991           -1.894            1.853           -4.262            4.222     
  -1.663       -2.841            1.178           -2.931            1.268           -3.287            1.624           -5.037            3.374     
   0.311       -7.565            7.875           -7.318            7.629           -1.360            1.670           -5.814            6.125     
  -0.108       -6.885            6.777           -6.965            6.858           -1.951            1.844           -5.215            5.107     
  -1.052       -3.099            2.048           -3.172            2.120           -2.666            1.614           -5.300            4.249     
