RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  Br  I  

dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dHs        error            result           error            result           error            result           error            result        
   0.839       -0.509            1.348           -0.347            1.186            4.985           -4.146            1.126           -0.287     
  -0.815       -2.047            1.232           -3.435            2.620            2.384           -3.199           -1.264            0.449     
  -2.837       -0.039           -2.798           -0.574           -2.263            1.583           -4.420            0.188           -3.025     
   0.115        6.193           -6.078            5.395           -5.279            3.818           -3.702            7.085           -6.970     
  -5.354        0.870           -6.224           -1.600           -3.755           -2.614           -2.740            1.168           -6.522     
 -11.288       -0.658          -10.630           -2.257           -9.032           -7.262           -4.026           -1.186          -10.102     
   2.060        2.517           -0.457            2.609           -0.550            5.908           -3.848            3.792           -1.733     
  -1.702       -0.943           -0.759           -2.560            0.858            1.203           -2.905           -0.269           -1.433     
  -5.872       -1.066           -4.806           -1.723           -4.149           -1.726           -4.147           -1.202           -4.670     
   1.675       -0.128            1.804            0.158            1.517            5.666           -3.991            1.267            0.408     
  -0.719       -2.057            1.338           -3.522            2.802            2.349           -3.068           -1.271            0.551     
  -3.291       -0.942           -2.349           -1.356           -1.935            0.974           -4.265           -0.949           -2.342     
  -9.806        5.939          -15.745            5.678          -15.485           -6.157           -3.650            6.904          -16.710     
 -16.426        0.168          -16.594           -1.989          -14.437          -13.660           -2.766            0.620          -17.046     
 -24.011       -3.978          -20.033           -4.973          -19.037          -20.070           -3.941           -4.420          -19.590     
  -2.107        3.287           -5.394            2.759           -4.867            1.464           -3.571            4.066           -6.174     
  -6.980       -1.286           -5.694           -3.573           -3.407           -4.360           -2.620           -0.995           -5.985     
 -12.770       -2.822           -9.949           -4.150           -8.620           -8.875           -3.895           -3.462           -9.308     
  -0.856       -0.929            0.073           -0.627           -0.229            2.876           -3.732            0.215           -1.072     
  -4.021       -3.639           -0.382           -5.135            1.114           -1.221           -2.800           -2.989           -1.031     
  -8.047       -3.770           -4.278           -4.218           -3.829           -4.017           -4.031           -4.035           -4.012     
  -0.686       -2.034            1.348           -1.693            1.007            3.084           -3.770           -0.866            0.180     
  -3.327       -4.259            0.932           -5.706            2.379           -0.494           -2.833           -3.584            0.257     
  -6.131       -3.149           -2.982           -3.553           -2.577           -2.065           -4.066           -3.390           -2.740     
   0.002       -2.188            2.190           -1.749            1.752            3.891           -3.889           -0.940            0.943     
  -1.795       -3.366            1.571           -4.767            2.972            1.182           -2.977           -2.621            0.826     
  -4.223       -2.259           -1.965           -2.522           -1.701           -0.060           -4.163           -2.413           -1.811     
  -1.919        8.553          -10.472           10.245          -12.164            0.580           -2.499            8.743          -10.662     
  -7.368        5.310          -12.678            4.325          -11.693           -5.658           -1.710            5.929          -13.297     
 -14.833       -0.108          -14.725            0.870          -15.702          -12.045           -2.787           -1.349          -13.484     
   4.680        5.026           -0.345            6.362           -1.681            7.123           -2.443            5.004           -0.324     
   0.979        2.982           -2.002            1.777           -0.797            2.565           -1.586            3.413           -2.434     
  -4.692        0.174           -4.866            0.728           -5.420           -1.928           -2.764           -1.291           -3.400     
   4.999        1.557            3.442            3.052            1.947            7.769           -2.769            1.704            3.296     
   3.006        1.377            1.630            0.292            2.715            4.938           -1.932            1.969            1.037     
