RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dHs        error            result           error            result           error            result           error            result        
   6.166       11.007           -4.840           10.238           -4.072            8.119           -1.953            8.906           -2.739     
 -44.503      -34.547           -9.956          -35.608           -8.894          -38.054           -6.449          -36.951           -7.552     
 -16.730       -7.536           -9.195           -8.197           -8.533          -10.163           -6.567           -9.179           -7.552     
  -8.795       -4.750           -4.045           -3.442           -5.353           -0.631           -8.164           -1.244           -7.552     
   0.191       10.112           -9.921            9.332           -9.141            6.889           -6.698            7.743           -7.552     
  47.084        5.550           41.534            7.296           39.788            5.086           41.998            4.041           43.044     
  51.530        8.619           42.911            9.575           41.955           11.507           40.022            8.486           43.044     
  58.246       17.243           41.003           19.013           39.232           16.359           41.887           15.202           43.044     
  19.216        4.767           14.449            6.301           12.915            5.687           13.529            5.044           14.172     
  23.662        7.836           15.825            8.579           15.082           12.108           11.553            9.489           14.172     
  30.378       16.460           13.917           18.018           12.360           16.960           13.418           16.205           14.172     
   2.366        5.783           -3.417            7.241           -4.875            6.170           -3.804            5.771           -3.405     
   6.812        8.852           -2.040            9.519           -2.708           12.591           -5.780           10.217           -3.405     
  13.528       17.476           -3.948           18.958           -5.430           17.442           -3.915           16.933           -3.405     
  -3.442        3.764           -7.205            5.171           -8.613            4.497           -7.939            4.157           -7.599     
   1.004        6.832           -5.829            7.450           -6.446           10.919           -9.915            8.603           -7.599     
   7.720       15.457           -7.737           16.889           -9.169           15.770           -8.050           15.319           -7.599     
  -9.058        2.063          -11.122            3.407          -12.465            3.171          -12.229            2.891          -11.950     
  -4.613        5.132           -9.745            5.685          -10.298            9.592          -14.205            7.337          -11.950     
   2.103       13.756          -11.653           15.124          -13.020           14.443          -12.340           14.053          -11.950     

Statistical Summary dH-+
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Unsigned Error             0.007                             0.011                             0.000                             -0.050               
RMSD                       14.982                            15.072                            15.461                            15.204               
CV                         10.659                            10.675                            11.132                            10.820               
AIC                       889.022                           886.956                           891.220                           889.785               
dAIC                       2.066                             0.000                             4.264                             2.830                
AICc                     889.564                           887.210                           891.295                           890.040               
dAICc                     2.353                             0.000                             4.085                             2.830                
