RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dHs        error            result           error            result           error            result           error            result        
  -1.414        5.699           -7.114            4.963           -6.378            3.099           -4.513            5.702           -7.117     
  -6.143       -0.462           -5.681           -1.814           -4.329           -3.028           -3.115           -0.439           -5.704     
 -11.527       -1.055          -10.472           -2.005           -9.523           -6.556           -4.971           -4.858           -6.669     
   0.171        3.221           -3.049            2.737           -2.566            4.863           -4.692            3.130           -2.958     
  -2.849       -1.093           -1.757           -2.225           -0.624            0.471           -3.321           -1.318           -1.531     
  -6.470       -0.245           -6.225           -0.899           -5.571           -1.356           -5.114           -3.940           -2.530     
  -0.280        1.719           -1.998            1.262           -1.541            4.451           -4.730            1.668           -1.948     
  -2.777       -2.106           -0.671           -3.204            0.427            0.576           -3.353           -2.253           -0.524     
  -5.174       -0.020           -5.155           -0.643           -4.532           -0.026           -5.149           -3.653           -1.521     
   0.839        2.218           -1.379            1.736           -0.897            5.706           -4.867            1.624           -0.785     
  -0.815       -0.581           -0.234           -1.746            0.931            2.710           -3.525           -1.472            0.657     
  -2.837        1.541           -4.378            0.930           -3.767            2.418           -5.255           -2.462           -0.375     
   0.115        6.406           -6.290            5.891           -5.775            4.354           -4.238            6.954           -6.839     
  -5.354       -0.129           -5.226           -1.491           -3.863           -2.479           -2.875           -0.079           -5.275     
 -11.288       -1.631           -9.657           -2.365           -8.923           -6.591           -4.697           -4.900           -6.388     
   2.060        4.442           -2.382            4.134           -2.075            6.504           -4.445            4.740           -2.680     
  -1.702       -0.245           -1.457           -1.432           -0.270            1.407           -3.109           -0.600           -1.102     
  -5.872       -0.307           -5.566           -0.790           -5.083           -1.005           -4.868           -3.624           -2.249     
   1.675        2.536           -0.861            2.188           -0.512            6.323           -4.647            2.183           -0.508     
  -0.719       -0.636           -0.083           -1.899            1.180            2.620           -3.340           -1.805            1.086     
  -3.291        0.576           -3.867            0.094           -3.385            1.745           -5.036           -3.197           -0.094     
  -3.549       11.066          -14.615           10.496          -14.045            0.732           -4.282            9.497          -13.046     
  -9.806        4.703          -14.510            4.118          -13.924           -5.642           -4.164            3.134          -12.940     
 -16.426       -2.326          -14.101           -3.976          -12.450          -13.514           -2.912           -5.167          -11.259     
 -24.011       -6.372          -17.638           -7.121          -16.889          -19.435           -4.576          -11.497          -12.514     
  -6.573       -0.782           -5.791           -1.086           -5.487           -2.397           -4.177            0.217           -6.790     
  -2.107        3.546           -5.653            3.234           -5.342            1.945           -4.053            4.580           -6.687     
  -6.980       -2.231           -4.749           -3.490           -3.489           -4.275           -2.705           -1.922           -5.058     
 -12.770       -3.748           -9.022           -4.280           -8.490           -8.259           -4.511           -6.534           -6.236     
 -12.964      -10.981           -1.983          -11.107           -1.857           -8.563           -4.401          -10.330           -2.634     
  -0.856        1.007           -1.863            0.869           -1.726            3.424           -4.281            1.673           -2.529     
  -4.021       -2.921           -1.099           -4.040            0.020           -1.061           -2.960           -3.136           -0.885     
  -8.047       -2.999           -5.049           -3.313           -4.734           -3.344           -4.704           -5.951           -2.097     
 -14.744      -13.732           -1.012          -13.855           -0.890          -10.290           -4.454          -13.121           -1.623     
  -0.686        0.207           -0.893            0.073           -0.759            3.648           -4.334            0.832           -1.518     
  -3.327       -3.233           -0.094           -4.340            1.013           -0.321           -3.006           -3.449            0.122     
  -6.131       -2.071           -4.060           -2.378           -3.753           -1.377           -4.753           -5.042           -1.088     
 -16.900      -16.347           -0.553          -16.541           -0.359          -12.281           -4.620          -16.437           -0.463     
   0.002        0.455           -0.453            0.245           -0.242            4.505           -4.503            0.359           -0.356     
  -1.795       -1.959            0.164           -3.185            1.390            1.416           -3.211           -3.098            1.303     
  -4.223       -0.762           -3.461           -1.107           -3.116            0.668           -4.892           -4.281            0.058     
  -1.919        7.630           -9.549            8.438          -10.357            0.614           -2.534            9.314          -11.233     
  -7.368        3.197          -10.565            2.044           -9.412           -5.953           -1.415            1.600           -8.968     
 -14.833       -2.191          -12.641           -1.524          -13.309          -11.891           -2.942           -4.011          -10.822     
   4.680        5.546           -0.866            6.579           -1.898            7.134           -2.454            9.661           -4.981     
   0.979        2.366           -1.387            1.554           -0.575            2.219           -1.239            3.746           -2.767     
  -4.692       -0.493           -4.199            0.342           -5.034           -1.783           -2.909           -0.147           -4.544     
   4.999        3.373            1.626            4.208            0.791            7.916           -2.916            5.822           -0.823     
   3.006        2.041            0.966            0.999            2.008            4.736           -1.729            1.600            1.406     
  -0.901        0.622           -1.523            1.303           -2.204            2.435           -3.336           -0.496           -0.405     
   4.381        2.197            2.184            2.917            1.464            7.426           -3.045            4.193            0.188     
   2.911        1.353            1.558            0.204            2.707            4.762           -1.851            0.498            2.413     
   0.227        1.173           -0.946            1.744           -1.517            3.688           -3.461           -0.377            0.604     
   3.898        2.047            1.851            2.471            1.427            7.252           -3.354            2.548            1.350     
   3.272        2.230            1.042            0.741            2.531            5.467           -2.195           -0.322            3.594     
   0.963        2.085           -1.122            2.396           -1.433            4.702           -3.739           -0.786            1.749     
   0.044        2.580           -2.537            3.333           -3.289            3.225           -3.181            6.077           -6.034     
   5.390       17.714          -12.325           17.918          -12.529            9.028           -3.639           17.955          -12.566     
 -11.025        1.241          -12.267            1.400          -12.426           -7.500           -3.526            1.415          -12.440     
 -13.319       -1.028          -12.291           -2.207          -11.113          -11.005           -2.314           -2.738          -10.581     
 -18.537       -3.144          -15.393           -3.147          -15.390          -14.600           -3.938           -6.523          -12.014     
   2.365        5.886           -3.520            6.350           -3.985            5.903           -3.537            8.675           -6.310     
  -3.326        0.103           -3.429            0.531           -3.857            0.092           -3.418            2.862           -6.188     
  -3.873       -0.914           -2.959           -1.707           -2.165           -1.762           -2.110            0.508           -4.380     
  -7.297       -0.500           -6.797           -0.292           -7.005           -3.421           -3.876           -1.560           -5.737     
  -2.615       -2.445           -0.169           -1.933           -0.682            1.230           -3.844           -0.462           -2.153     
  -0.665       -0.568           -0.097           -0.098           -0.568            3.063           -3.729            1.364           -2.029     
   0.497        0.263            0.234           -0.520            1.017            2.945           -2.448            0.704           -0.207     
  -1.164        2.117           -3.281            2.412           -3.576            2.987           -4.151            0.434           -1.598     
  -4.802       -5.463            0.661           -4.987            0.186           -0.878           -3.923           -3.659           -1.143     
  -0.901       -1.634            0.733           -1.200            0.299            2.906           -3.808            0.118           -1.019     
   0.784       -0.314            1.098           -1.126            1.910            3.304           -2.521           -0.016            0.800     
   0.347        2.779           -2.432            3.041           -2.694            4.573           -4.227            0.936           -0.589     
  -7.507       -8.346            0.839           -8.022            0.515           -3.368           -4.139           -7.525            0.017     
  -0.762       -1.655            0.892           -1.377            0.615            3.265           -4.027           -0.906            0.143     
   1.766        0.691            1.075           -0.320            2.086            4.542           -2.776           -0.214            1.981     
   1.704        3.819           -2.115            3.963           -2.258            6.120           -4.416            1.147            0.557     
  -7.177       -0.281           -6.897            1.209           -8.386           -5.599           -1.579            2.890          -10.067     
 -12.961       -4.386           -8.575           -5.274           -7.686          -12.438           -0.523           -5.431           -7.530     
 -20.449      -10.511           -9.938           -9.131          -11.319          -18.467           -1.982          -10.773           -9.677     
   2.984        1.507            1.476            3.132           -0.149            4.538           -1.555            6.798           -3.815     
  -1.052       -1.345            0.293           -1.981            0.929           -0.649           -0.403            0.276           -1.329     
  -6.747       -4.941           -1.806           -3.482           -3.265           -4.742           -2.005           -3.348           -3.399     
   3.422        0.440            2.981            1.586            1.836            5.618           -2.196            3.078            0.343     
   1.094       -0.564            1.658           -1.713            2.807            2.166           -1.072           -1.750            2.844     
  -2.837       -2.720           -0.117           -1.697           -1.140           -0.226           -2.611           -3.577            0.740     
   2.971       -0.241            3.211            0.696            2.275            5.355           -2.384            1.617            1.354     
   1.166       -0.757            1.923           -2.106            3.272            2.419           -1.253           -2.685            3.851     
  -1.542       -1.673            0.132           -0.854           -0.687            1.254           -2.795           -3.290            1.749     
   2.751        0.413            2.338            0.898            1.853            5.542           -2.791            0.235            2.516     
   1.790        0.923            0.867           -0.921            2.711            3.485           -1.695           -3.242            5.032     
  -0.543        0.041           -0.584            0.446           -0.988            2.629           -3.171           -3.437            2.895     

Statistical Summary dHs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Unsigned Error             0.000                             0.000                             0.000                             -0.000               
RMSD                       4.399                             4.480                             6.728                             4.903                
CV                         3.116                             3.293                             5.436                             3.719                
AIC                       491.980                           493.912                           621.631                           523.089               
dAIC                       0.000                             1.932                            129.651                            31.109               
AICc                     492.522                           494.167                           621.706                           523.344               
dAICc                     0.000                             1.645                            129.184                            30.822               


dH-+
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dH-+       error            result           error            result           error            result           error            result        
   5.019      -37.845           42.864          -36.569           41.588          -38.839           43.858          -39.438           44.457     
  39.197       -4.119           43.316           -2.669           41.866           -4.512           43.709           -5.260           44.457     
  46.606        1.212           45.394            2.385           44.221            4.803           41.803            2.149           44.457     
  57.361       14.637           42.725           16.067           41.294           13.770           43.592           12.905           44.457     
 -22.467      -38.060           15.593          -36.988           14.522          -37.783           15.317          -37.979           15.512     
  11.711       -4.334           16.045           -3.088           14.800           -3.456           15.167           -3.801           15.512     
  19.120        0.997           18.123            1.965           17.155            5.859           13.262            3.608           15.512     
  29.876       14.422           15.454           15.648           14.228           14.826           15.050           14.364           15.512     
 -42.065      -39.254           -2.811          -38.233           -3.832          -39.838           -2.227          -39.786           -2.279     
  -7.887       -5.528           -2.359           -4.333           -3.554           -5.511           -2.376           -5.608           -2.279     
  -0.478       -0.197           -0.281            0.721           -1.199            3.804           -4.282            1.801           -2.279     
  10.277       13.228           -2.950           14.403           -4.126           12.771           -2.493           12.557           -2.279     
 -48.279      -41.499           -6.780          -40.520           -7.759          -41.846           -6.433          -41.735           -6.545     
 -14.101       -7.773           -6.328           -6.621           -7.481           -7.519           -6.582           -7.557           -6.545     
  -6.692       -2.442           -4.250           -1.567           -5.125            1.796           -8.488           -0.147           -6.545     
   4.063       10.982           -6.919           12.115           -8.052           10.762           -6.699           10.608           -6.545     
 -54.254      -43.268          -10.987          -42.340          -11.914          -43.418          -10.836          -43.244          -11.010     
 -20.077       -9.542          -10.535           -8.440          -11.636           -9.091          -10.986           -9.066          -11.010     
 -12.667       -4.211           -8.456           -3.387           -9.281            0.224          -12.891           -1.657          -11.010     
  -1.912        9.214          -11.126           10.296          -12.208            9.191          -11.103            9.098          -11.010     
  13.289      -32.375           45.664          -32.981           46.269          -35.177           48.466          -34.957           48.245     
