RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: F  Cl  Br  I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
  -4.448       -1.073           -3.375           -1.071           -3.376           -6.084            1.636            1.601           -6.049     
 -11.537       -6.679           -4.857           -7.617           -3.920          -13.759            2.222           -5.080           -6.457     
 -18.573       -8.684           -9.889           -9.102           -9.471          -20.024            1.451           -9.999           -8.574     
   4.112        1.554            2.558            0.588            3.524            2.428            1.684            4.120           -0.008     
  -1.259       -2.859            1.600           -4.776            3.517           -3.572            2.314           -1.291            0.032     
  -6.217       -2.006           -4.210           -3.385           -2.832           -7.695            1.478           -3.465           -2.751     
   5.103       -0.992            6.095           -0.925            6.028            3.499            1.604            2.377            2.726     
   1.322       -3.666            4.988           -4.548            5.870           -0.899            2.221           -1.318            2.640     
  -1.926       -1.446           -0.480           -1.798           -0.128           -3.340            1.414           -2.075            0.149     
   5.091       -1.773            6.864           -1.632            6.723            3.505            1.586            1.678            3.413     
   1.900       -3.894            5.795           -4.702            6.602           -0.307            2.207           -1.458            3.358     
  -0.669       -0.979            0.310           -1.257            0.587           -2.067            1.398           -1.522            0.853     
   4.132       -3.231            7.364           -2.746            6.878            2.608            1.525            0.400            3.732     
   1.635       -4.466            6.101           -4.925            6.559           -0.495            2.129           -1.877            3.512     
  -0.433       -1.408            0.976           -1.346            0.913           -1.783            1.350           -1.747            1.315     
  -1.747        1.261           -3.008            1.385           -3.132           -3.505            1.758            3.605           -5.352     
  -7.952       -3.265           -4.687           -4.082           -3.870          -10.281            2.329           -1.633           -6.319     
 -18.047       -8.520           -9.527           -8.816           -9.231          -19.620            1.573          -10.158           -7.890     
   8.080        5.135            2.945            4.296            3.784            6.272            1.808            7.376            0.703     
   3.593        1.802            1.791            0.010            3.583            1.171            2.422            3.408            0.185     
  -4.424       -0.596           -3.828           -1.848           -2.576           -6.025            1.601           -2.372           -2.052     
   9.046        2.763            6.283            2.916            6.130            7.331            1.715            5.754            3.292     
   6.150        1.169            4.981            0.372            5.778            3.833            2.317            3.503            2.647     
  -0.157        0.138           -0.296           -0.127           -0.031           -1.682            1.524           -0.860            0.703     
   9.441        2.446            6.995            2.662            6.779            7.747            1.694            5.504            3.937     
   7.134        1.405            5.729            0.670            6.464            4.836            2.298            3.811            3.323     
   1.506        1.070            0.436            0.867            0.639            0.001            1.505            0.141            1.365     
   9.367        2.003            7.363            2.537            6.829            7.743            1.624            5.207            4.160     
   7.753        1.849            5.904            1.437            6.317            5.541            2.213            4.372            3.381     
   2.627        1.656            0.971            1.767            0.860            1.178            1.449            0.896            1.730     
  10.614       13.085           -2.471           13.400           -2.786            8.826            1.788           15.440           -4.826     
  -3.420       -0.723           -2.697           -0.502           -2.918           -5.262            1.841            1.364           -4.784     
  -9.912       -5.451           -4.460           -6.171           -3.740          -12.317            2.405           -3.917           -5.995     
 -18.286       -9.070           -9.216           -9.268           -9.018          -19.942            1.656          -10.962           -7.325     
  10.328        6.873            3.455            6.228            4.101            8.493            1.836            9.123            1.205     
   6.861        3.597            3.264            2.857            4.004            4.969            1.892            5.584            1.277     
   2.087        0.063            2.024           -1.631            3.719           -0.411            2.499            1.574            0.514     
  -4.209       -0.699           -3.510           -1.852           -2.357           -5.894            1.685           -2.727           -1.482     
   4.204       -2.458            6.662           -2.143            6.347            2.469            1.735            0.504            3.700     
