RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: I  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
 -17.808       -4.493          -13.316           -5.784          -12.024          -14.983           -2.826           -6.038          -11.770     
  -6.551       -5.232           -1.319           -6.054           -0.497           -3.720           -2.831           -4.699           -1.852     
  -2.380       -4.602            2.222           -4.788            2.408            0.046           -2.426           -4.884            2.504     
  -1.601       -4.988            3.387           -4.637            3.036            0.704           -2.306           -5.049            3.448     
  -0.719       -4.546            3.827           -3.226            2.506            1.330           -2.049           -4.599            3.880     
 -15.347       -2.259          -13.087           -1.814          -13.533          -13.432           -1.914           -2.703          -12.643     
  -3.133       -2.103           -1.031           -1.446           -1.688           -1.177           -1.957           -0.606           -2.527     
   1.372       -1.381            2.753           -1.141            2.514            3.076           -1.703           -1.266            2.639     
   2.438       -1.561            3.998           -1.131            3.569            4.070           -1.633           -1.411            3.849     
   3.105       -1.473            4.578           -0.676            3.781            4.567           -1.463           -1.640            4.744     
 -12.000        1.366          -13.366            1.769          -13.769          -10.186           -1.815            0.866          -12.866     
   0.356        1.662           -1.306            2.261           -1.905            2.216           -1.860            3.095           -2.738     
   4.647        2.146            2.501            2.227            2.420            6.268           -1.621            2.142            2.505     
   5.712        1.959            3.753            2.198            3.514            7.267           -1.555            1.973            3.739     
   6.475        2.128            4.347            2.676            3.799            7.868           -1.393            1.795            4.680     
 -10.638        2.938          -13.577            3.059          -13.697           -8.839           -1.799            2.054          -12.693     
   2.053        3.569           -1.516            3.885           -1.832            3.897           -1.844            4.617           -2.564     
   6.224        3.931            2.293            3.718            2.506            7.831           -1.607            3.537            2.687     
   7.481        3.934            3.547            3.876            3.605            9.022           -1.541            3.556            3.925     
   7.885        3.743            4.142            3.985            3.900            9.265           -1.381            3.013            4.872     
 -18.573       -0.779          -17.794           -1.953          -16.620          -17.777           -0.796           -2.788          -15.785     
  -6.217       -0.487           -5.730           -1.484           -4.733           -5.373           -0.844           -0.574           -5.642     
  -1.926       -0.209           -1.717           -2.612            0.686           -1.193           -0.733           -2.210            0.284     
  -0.669       -0.267           -0.402           -2.783            2.113            0.036           -0.705           -2.395            1.726     
  -0.433       -0.751            0.318           -3.508            3.076            0.190           -0.623           -3.523            3.090     
 -18.047       -1.935          -16.112           -1.926          -16.122          -17.040           -1.008           -2.684          -15.363     
  -4.424       -0.380           -4.044           -0.209           -4.215           -3.367           -1.057            0.785           -5.209     
  -0.157       -0.090           -0.067           -1.173            1.015            0.767           -0.924           -0.757            0.600     
   1.506        0.268            1.237           -0.881            2.387            2.396           -0.890           -0.502            2.007     
   2.627        0.692            1.934           -0.598            3.225            3.420           -0.793           -0.667            3.294     
 -18.286       -2.892          -15.394           -2.560          -15.726          -17.135           -1.151           -3.309          -14.977     
  -4.209       -0.884           -3.325           -0.396           -3.813           -3.007           -1.202            0.610           -4.819     
   0.321       -0.305            0.625           -0.954            1.274            1.373           -1.052           -0.580            0.901     
   0.837       -1.085            1.922           -1.767            2.604            1.850           -1.013           -1.445            2.282     
   1.312       -1.289            2.601           -2.038            3.350            2.218           -0.906           -2.199            3.511     
  -8.846        3.962          -12.807            3.964          -12.809           -6.421           -2.424            3.589          -12.435     
   0.213        0.990           -0.777            1.318           -1.106            2.663           -2.450            2.620           -2.407     
   2.161       -0.718            2.879           -0.253            2.414            4.278           -2.117           -0.172            2.334     
   1.434       -2.648            4.082           -1.812            3.246            3.454           -2.020           -1.970            3.404     
   0.882       -3.704            4.586           -2.175            3.057            2.685           -1.803           -3.167            4.049     
  -9.443        4.575          -14.018            6.730          -16.173           -8.113           -1.330            6.854          -16.297     
   1.814        3.762           -1.948            6.073           -4.259            3.195           -1.381            7.952           -6.138     
   4.551        2.575            1.976            3.860            0.691            5.766           -1.215            5.056           -0.504     
   5.330        2.066            3.264            3.356            1.974            6.501           -1.171            4.482            0.848     
   6.212        2.287            3.924            3.596            2.616            7.263           -1.051            4.200            2.012     
