RESULTS

For the following solvents:
water  MeOH  EtOH  1PrOH  DMSO  DMA  DMF  PC  ACE  BuOH  EG  FA  MeCN  
We considered all the salts that could be formed with the following cations and anions:
Cations: Li  Na  K  Rb  Cs  
Anions: Cl  

dGs
                     allparams_bound                     gamma_bound                      simple_unbound                      zeta_bound             
Ref dGs        error            result           error            result           error            result           error            result        
 -18.642       -7.216          -11.426           -3.706          -14.936           -4.436          -14.206           -5.147          -13.495     
  37.094       -1.877           38.971           -4.859           41.953           -4.771           41.865           -4.817           41.911     
  10.803       -3.943           14.746           -3.403           14.206           -3.978           14.781           -3.934           14.737     
  -6.501       -1.797           -4.704           -4.341           -2.160           -4.255           -2.246           -4.153           -2.347     
 -12.285       -3.737           -8.548           -6.018           -6.267           -5.917           -6.368           -5.801           -6.483     
 -17.567       -4.729          -12.838           -7.052          -10.515           -6.781          -10.786           -6.651          -10.916     
  37.046       -2.545           39.591           -5.384           42.430           -5.242           42.287           -5.224           42.270     
  10.612       -4.719           15.331           -4.068           14.680           -4.586           15.197           -4.477           15.089     
  -6.477       -2.124           -4.353           -4.767           -1.710           -4.605           -1.872           -4.439           -2.038     
 -12.261       -3.990           -8.271           -6.436           -5.825           -6.253           -6.008           -6.074           -6.187     
 -17.639       -4.939          -12.700           -7.552          -10.086           -7.188          -10.451           -6.994          -10.645     
  38.241       -0.706           38.947           -4.368           42.609           -4.202           42.442           -4.130           42.371     
  11.472       -3.211           14.684           -3.386           14.858           -3.880           15.352           -3.717           15.190     
  -5.497       -0.473           -5.025           -3.963           -1.534           -3.775           -1.722           -3.555           -1.942     
 -11.472       -2.521           -8.952           -5.823           -5.650           -5.613           -5.860           -5.379           -6.093     
 -16.491       -3.092          -13.399           -6.578           -9.913           -6.186          -10.306           -5.937          -10.554     
  48.088        1.192           46.896            1.094           46.994            1.734           46.354            2.267           45.821     
  21.654       -0.937           22.590            2.415           19.239            2.398           19.256            3.022           18.632     
   4.565        3.736            0.829            1.924            2.641            2.756            1.809            3.439            1.126     
  -1.410        2.310           -3.720            0.127           -1.537            1.031           -2.441            1.728           -3.138     
  -6.262        3.173           -9.435           -0.334           -5.927            0.856           -7.118            1.568           -7.830     
  53.035        6.612           46.424            7.081           45.954            7.600           45.435            7.990           45.046     
  25.335        3.252           22.082            7.139           18.196            7.004           18.330            7.484           17.850     
   8.270        7.591            0.679            6.636            1.634            7.321            0.948            7.860            0.410     
   1.888        5.654           -3.766            4.422           -2.534            5.171           -3.283            5.724           -3.836     
  -3.848        5.396           -9.244            3.053           -6.901            4.069           -7.917            4.637           -8.485     
  51.554        6.022           45.531            6.255           45.299            6.703           44.850            7.015           44.539     
  23.399        2.222           21.177            5.859           17.539            5.655           17.743            6.058           17.341     
   6.071        6.026            0.045            5.067            1.004            5.661            0.410            6.121           -0.050     
